Cue,Target,Frequency,Semantic,Rhyme,PronCue,NPhonCue,PronCue_processed,NSyllCue,cue_Length,cue_Freq_N,PhonTarget,NPhonTarget,PhonTarget_processed,NSyllTarget,Target_Length,Target_Freq_N,word_dist,pron_dist,category
shout,about,2,0,1,SaUt,3,aU,1,5,7.25,@.baUt,4,aU,2,5,7.9,2,3,1
trout,about,2,0,1,traUt,4,aU,1,5,3.95,@.baUt,4,aU,2,5,7.9,2,3,1
clove,above,1,0,0,klov,4,o,1,5,8.7,@.bVv,4,?,2,5,6.2,2,4,0
dove,above,5,0,1,dVv,3,?,1,4,7.77,@.bVv,4,?,2,5,6.2,2,3,3
glove,above,2,0,1,glVv,4,?,1,5,7.7,@.bVv,4,?,2,5,6.2,2,3,1
love,above,3,0,1,lVv,3,?,1,4,7.08,@.bVv,4,?,2,5,6.2,2,3,2
of,above,3,0,1,Vv,2,?,1,2,9.93,@.bVv,4,?,2,5,6.2,4,3,2
shove,above,4,0,1,SVv,3,?,1,5,7.44,@.bVv,4,?,2,5,6.2,2,3,2
solve,above,1,0,0,sAlv,4,A,1,5,7.52,@.bVv,4,?,2,5,6.2,3,4,0
fuse,abuse,3,0,1,fjuz,4,u,1,4,5.22,@.bjuz,5,u,2,5,4.9,2,3,2
act,ace,1,0,0,akt,3,a,1,3,8.25,es,2,e,1,3,8.6,1,3,0
ax,ace,1,0,0,aks,3,a,1,2,10.8,es,2,e,1,3,8.6,2,2,0
base,ace,1,0,1,bes,3,e,1,4,7.55,es,2,e,1,3,8.6,2,1,0
blaze,ace,1,0,0,blez,4,e,1,5,6.64,es,2,e,1,3,8.6,3,3,0
cache,ace,1,0,0,kaS,3,a,1,5,2.71,es,2,e,1,3,8.6,2,3,0
case,ace,2,0,1,kes,3,e,1,4,9.16,es,2,e,1,3,8.6,2,1,1
chase,ace,1,0,1,tSes,3,e,1,5,7.77,es,2,e,1,3,8.6,3,2,0
face,ace,8,0,1,fes,3,e,1,4,8.23,es,2,e,1,3,8.6,1,1,3
grace,ace,2,0,1,gres,4,e,1,5,7.37,es,2,e,1,3,8.6,2,2,1
lace,ace,5,0,1,les,3,e,1,4,7.28,es,2,e,1,3,8.6,1,1,3
peace,ace,2,0,0,pis,3,i,1,5,6.56,es,2,e,1,3,8.6,2,2,1
place,ace,4,0,1,ples,4,e,1,5,7.61,es,2,e,1,3,8.6,2,2,2
race,ace,3,0,1,res,3,e,1,4,8.18,es,2,e,1,3,8.6,1,1,2
space,ace,2,0,1,spes,4,e,1,5,7.01,es,2,e,1,3,8.6,2,2,1
arch,ache,2,0,0,ArtS,3,A,1,4,5.66,ek,2,e,1,4,6.8,2,4,1
cache,ache,4,0,0,kaS,3,a,1,5,2.71,ek,2,e,1,4,6.8,1,3,2
coach,ache,1,0,0,kotS,3,o,1,5,6.13,ek,2,e,1,4,6.8,3,4,0
fake,ache,1,0,1,fek,3,e,1,4,8.52,ek,2,e,1,4,6.8,3,1,0
flake,ache,2,0,1,flek,4,e,1,5,7.42,ek,2,e,1,4,6.8,4,2,1
gauche,ache,2,0,0,goS,3,o,1,6,4.45,ek,2,e,1,4,6.8,2,3,1
reach,ache,1,0,0,ritS,3,i,1,5,7.95,ek,2,e,1,4,6.8,3,4,0
take,ache,1,0,1,tek,3,e,1,4,8.08,ek,2,e,1,4,6.8,3,1,0
yacht,ache,1,0,0,jAt,3,A,1,5,5.02,ek,2,e,1,4,6.8,2,3,0
ache,acne,1,0,0,ek,2,e,1,4,6.82,ak.ni,4,a,2,4,7.5,1,4,0
fact,act,6,0,1,fakt,4,a,1,4,8.71,akt,3,a,1,3,8.3,1,1,3
pack,act,1,0,1,pak,3,a,1,4,8.55,akt,3,a,1,3,8.3,2,2,0
shack,act,1,0,0,Sak,3,a,1,5,7.59,akt,3,a,1,3,8.3,3,2,0
tact,act,11,0,1,takt,4,a,1,4,7.56,akt,3,a,1,3,8.3,1,1,3
yacht,act,1,0,0,jAt,3,A,1,5,5.02,akt,3,a,1,3,8.3,2,2,0
act,actor,1,0,0,akt,3,a,1,3,8.25,akt.@`,4,a,2,5,5.3,2,3,0
add,ad,4,0,1,ad,2,a,1,3,8.97,ad,2,a,1,2,10.597,1,0,2
bad,ad,1,0,1,bad,3,a,1,3,8.76,ad,2,a,1,2,10.597,1,1,0
dad,ad,1,0,1,dad,3,a,1,3,8.93,ad,2,a,1,2,10.597,1,1,0
fade,ad,1,0,0,fed,3,e,1,4,7.35,ad,2,a,1,2,10.597,2,2,0
badge,adage,1,0,0,badZ,3,a,1,5,4.66,a.4@dZ,4,a.4@,2,5,2.6,2,4,0
ad,add,5,0,1,ad,2,a,1,2,10.6,ad,2,a,1,3,9,1,0,3
add,addition,1,1,0,ad,2,a,1,3,8.97,@d.I.Sn=,5,I.,3,8,6.7,5,7,0
depth,adept,1,0,0,dEpT,4,E,1,5,11.26,@.dEpt,5,E,2,5,8.4,2,3,0
four,adore,1,0,1,fOr,3,O,1,4,8.21,@.dOr,4,O,2,5,6.2,4,3,0
poor,adore,1,0,1,pUr,3,U,1,4,7.76,@.dOr,4,O,2,5,6.2,3,4,0
pour,adore,1,0,1,pOr,3,O,1,4,7.86,@.dOr,4,O,2,5,6.2,4,3,0
sore,adore,1,0,1,sOr,3,O,1,4,8.89,@.dOr,4,O,2,5,6.2,2,3,0
corn,adorn,1,0,1,kOrn,4,O,1,4,7.74,@.dOrn,5,O,2,5,8,2,3,0
sad,ads,1,0,0,sad,3,a,1,3,9.1,adz,3,a,1,3,8,2,2,0
guise,advise,1,0,1,gaIz,3,aI,1,5,6.66,@d.vaIz,5,aI,2,6,5.7,3,4,0
raft,aft,1,0,1,raft,4,a,1,4,5.35,aft,3,a,1,3,8,1,1,0
all,again,1,0,0,Ol,2,O,1,3,6.8,@.gEn,4,E,2,5,7.8,4,5,0
kin,again,1,0,0,kIn,3,I,1,3,8.78,@.gEn,4,E,2,5,7.8,3,4,0
badge,age,2,0,0,badZ,3,a,1,5,4.66,edZ,2,e,1,3,8.7,2,2,1
beige,age,1,0,1,beZ,3,e,1,5,4.95,edZ,2,e,1,3,8.7,3,2,0
cage,age,6,0,1,kedZ,3,e,1,4,9.51,edZ,2,e,1,3,8.7,1,1,3
change,age,1,0,0,tSendZ,4,e,1,6,10.85,edZ,2,e,1,3,8.7,3,3,0
gag,age,1,0,0,gag,3,a,1,3,7.71,edZ,2,e,1,3,8.7,2,3,0
gauge,age,3,0,1,gedZ,3,e,1,5,5.72,edZ,2,e,1,3,8.7,2,1,2
gaze,age,1,0,0,gez,3,e,1,4,7.18,edZ,2,e,1,3,8.7,2,3,0
page,age,9,0,1,pedZ,3,e,1,4,7.38,edZ,2,e,1,3,8.7,1,1,3
plague,age,1,0,0,pleg,4,e,1,6,4.74,edZ,2,e,1,3,8.7,3,4,0
plaque,age,1,0,0,plak,4,a,1,6,5.38,edZ,2,e,1,3,8.7,4,4,0
rage,age,10,0,1,redZ,3,e,1,4,8.58,edZ,2,e,1,3,8.7,1,1,3
stage,age,12,0,1,stedZ,4,e,1,5,6.59,edZ,2,e,1,3,8.7,2,2,3
vague,age,1,0,0,veg,3,e,1,5,8.51,edZ,2,e,1,3,8.7,2,3,0
wage,age,8,0,1,wedZ,3,e,1,4,7.82,edZ,2,e,1,3,8.7,1,1,3
speed,agreed,1,0,1,spid,4,i,1,5,6.15,@.grid,5,i,2,6,8.6,3,4,0
rays,ahead,1,0,0,rez,3,e,1,4,7.48,@.hEd,4,E,2,5,7.6,5,5,0
toy,ahoy,1,0,1,tOI,2,O,1,3,9.06,@.hOI,3,O,2,4,1.6,2,3,0
ad,aid,1,0,0,ad,2,a,1,2,10.6,ed,2,e,1,3,9.4,1,1,0
fade,aid,4,0,1,fed,3,e,1,4,7.35,ed,2,e,1,3,9.4,3,1,2
made,aid,3,0,1,med,3,e,1,4,7.33,ed,2,e,1,3,9.4,3,1,2
maid,aid,7,0,1,med,3,e,1,4,10,ed,2,e,1,3,9.4,1,1,3
plaid,aid,1,0,0,plad,4,a,1,5,7.63,ed,2,e,1,3,9.4,2,3,0
said,aid,5,0,0,sEd,3,E,1,4,8.21,ed,2,e,1,3,9.4,1,2,3
suede,aid,1,0,1,swed,4,e,1,5,5.81,ed,2,e,1,3,9.4,4,2,0
fail,ail,5,0,1,fel,3,e,1,4,7.94,el,2,e,1,3,8.8,1,1,3
flail,ail,5,0,1,flel,4,e,1,5,7.29,el,2,e,1,3,8.8,2,2,3
hail,ail,2,0,1,hel,3,e,1,4,8.48,el,2,e,1,3,8.8,1,1,1
jail,ail,2,0,1,dZel,3,e,1,4,8.12,el,2,e,1,3,8.8,1,2,1
mail,ail,2,0,1,mel,3,e,1,4,7.45,el,2,e,1,3,8.8,1,1,1
nail,ail,2,0,1,nel,3,e,1,4,8.27,el,2,e,1,3,8.8,1,1,1
pail,ail,6,0,1,pel,3,e,1,4,8.03,el,2,e,1,3,8.8,1,1,3
pale,ail,2,0,1,pel,3,e,1,4,7.54,el,2,e,1,3,8.8,3,1,1
rail,ail,2,0,1,rel,3,e,1,4,8.15,el,2,e,1,3,8.8,1,1,1
sail,ail,5,0,1,sel,3,e,1,4,8.47,el,2,e,1,3,8.8,1,1,3
stale,ail,1,0,1,stel,4,e,1,5,7.83,el,2,e,1,3,8.8,4,2,0
tail,ail,3,0,1,tel,3,e,1,4,8.04,el,2,e,1,3,8.8,1,1,2
trail,ail,1,0,1,trel,4,e,1,5,7.06,el,2,e,1,3,8.8,2,2,0
whale,ail,3,0,1,hwel,4,e,1,5,9.73,el,2,e,1,3,8.8,4,2,2
blame,aim,1,0,1,blem,4,e,1,5,6.96,em,2,e,1,3,9,4,2,0
claim,aim,1,0,1,klem,4,e,1,5,6.5,em,2,e,1,3,9,2,2,0
fame,aim,2,0,1,fem,3,e,1,4,8.96,em,2,e,1,3,9,3,1,1
flame,aim,1,0,1,flem,4,e,1,5,7.87,em,2,e,1,3,9,4,2,0
gain,aim,1,0,0,gen,3,e,1,4,7.91,em,2,e,1,3,9,2,2,0
name,aim,1,0,1,nem,3,e,1,4,8.36,em,2,e,1,3,9,3,1,0
rain,aim,1,0,0,ren,3,e,1,4,8.13,em,2,e,1,3,9,2,2,0
tame,aim,1,0,1,tem,3,e,1,4,9.05,em,2,e,1,3,9,3,1,0
aim,aiming,1,1,0,em,2,e,1,3,8.96,em.IN,4,e,2,6,6,3,3,0
aid,air,1,0,0,ed,2,e,1,3,9.43,Er,2,E,1,3,7.8,1,2,0
aim,air,1,0,0,em,2,e,1,3,8.96,Er,2,E,1,3,7.8,1,2,0
chair,air,1,0,1,tSEr,3,E,1,5,8.07,Er,2,E,1,3,7.8,2,2,0
ear,air,1,0,0,Ir,2,I,1,3,9.6,Er,2,E,1,3,7.8,2,1,0
fair,air,4,0,1,fEr,3,E,1,4,7.43,Er,2,E,1,3,7.8,1,1,2
flair,air,9,0,1,flEr,4,E,1,5,6.7,Er,2,E,1,3,7.8,2,2,3
hair,air,7,0,1,hEr,3,E,1,4,8.68,Er,2,E,1,3,7.8,1,1,3
heir,air,7,1,0,Er,2,E,1,4,8.12,Er,2,E,1,3,7.8,2,0,3
lair,air,5,0,1,lEr,3,E,1,4,8.28,Er,2,E,1,3,7.8,1,1,3
pair,air,5,0,1,pEr,3,E,1,4,7.73,Er,2,E,1,3,7.8,1,1,3
prayer,air,1,0,0,prEr,4,E,1,6,7.52,Er,2,E,1,3,7.8,4,2,0
rare,air,1,0,1,rEr,3,E,1,4,7.99,Er,2,E,1,3,7.8,3,1,0
stair,air,5,0,1,stEr,4,E,1,5,6.76,Er,2,E,1,3,7.8,2,2,3
stare,air,2,0,1,stEr,4,E,1,5,9.15,Er,2,E,1,3,7.8,4,2,1
isle,aisle,10,0,1,aIl,2,aI,1,4,5.06,aIl,2,aI,1,5,5.6,1,0,3
far,ajar,1,0,1,fAr,3,A,1,3,9.01,@.dZAr,4,A,2,4,6.4,2,4,0
kin,akin,1,0,1,kIn,3,I,1,3,8.78,@.kIn,4,I,2,4,7.8,1,2,0
skin,akin,3,0,1,skIn,4,I,1,4,7.68,@.kIn,4,I,2,4,7.8,1,2,2
FALSE,al,1,0,0,fOls,4,O,1,5,3.47,al,2,a,1,2,10.7,5,3,0
pal,al,1,0,1,pal,3,a,1,3,8.42,al,2,a,1,2,10.7,1,1,0
talc,al,1,0,0,talk,4,a,1,4,8.56,al,2,a,1,2,10.7,2,2,0
fail,ale,2,0,1,fel,3,e,1,4,7.94,el,2,e,1,3,8.6,3,1,1
flail,ale,3,0,1,flel,4,e,1,5,7.29,el,2,e,1,3,8.6,4,2,2
frail,ale,2,0,1,frel,4,e,1,5,7.35,el,2,e,1,3,8.6,4,2,1
hail,ale,1,0,1,hel,3,e,1,4,8.48,el,2,e,1,3,8.6,3,1,0
jail,ale,3,0,1,dZel,3,e,1,4,8.12,el,2,e,1,3,8.6,3,2,2
mail,ale,1,0,1,mel,3,e,1,4,7.45,el,2,e,1,3,8.6,3,1,0
male,ale,6,0,1,mel,3,e,1,4,7.75,el,2,e,1,3,8.6,1,1,3
nail,ale,1,0,1,nel,3,e,1,4,8.27,el,2,e,1,3,8.6,3,1,0
pail,ale,5,0,1,pel,3,e,1,4,8.03,el,2,e,1,3,8.6,3,1,3
pale,ale,24,0,1,pel,3,e,1,4,7.54,el,2,e,1,3,8.6,1,1,3
rail,ale,1,0,1,rel,3,e,1,4,8.15,el,2,e,1,3,8.6,3,1,0
sale,ale,5,0,1,sel,3,e,1,4,8,el,2,e,1,3,8.6,1,1,3
scale,ale,6,0,1,skel,4,e,1,5,6.35,el,2,e,1,3,8.6,2,2,3
stale,ale,5,0,1,stel,4,e,1,5,7.83,el,2,e,1,3,8.6,2,2,3
tail,ale,1,0,1,tel,3,e,1,4,8.04,el,2,e,1,3,8.6,3,1,0
tale,ale,8,0,1,tel,3,e,1,4,7.86,el,2,e,1,3,8.6,1,1,3
whale,ale,2,0,1,hwel,4,e,1,5,9.73,el,2,e,1,3,8.6,2,2,1
dirt,alert,1,0,1,d3`t,3,3`,1,4,7.01,@.l3`t,4,3`,2,5,7,3,3,0
hurt,alert,1,0,1,h3`t,3,3`,1,4,8.15,@.l3`t,4,3`,2,5,7,3,3,0
shirt,alert,1,0,1,S3`t,3,3`,1,5,6.51,@.l3`t,4,3`,2,5,7,3,3,0
skirt,alert,1,0,1,sk3`t,4,3`,1,5,4.52,@.l3`t,4,3`,2,5,7,3,3,0
flex,alex,1,0,1,flEks,5,E,1,4,6.93,a.lIks,5,a.,2,4,5.7,1,3,0
sail,alias,1,0,0,sel,3,e,1,4,8.47,e.li@s,5,e.,2,5,3,4,5,0
sign,align,3,0,1,saIn,3,aI,1,4,9.05,@.laIn,4,aI,2,5,10,2,3,2
vine,align,1,0,0,vaIn,3,aI,1,4,7.96,@.laIn,4,aI,2,5,10,4,3,0
bribe,alive,1,0,0,braIb,4,aI,1,5,7.69,@.laIv,4,aI,2,5,8.3,3,4,0
dive,alive,3,0,1,daIv,3,aI,1,4,8.23,@.laIv,4,aI,2,5,8.3,2,3,2
drive,alive,3,0,1,draIv,4,aI,1,5,8.81,@.laIv,4,aI,2,5,8.3,2,3,2
five,alive,2,0,1,faIv,3,aI,1,4,8.56,@.laIv,4,aI,2,5,8.3,2,3,1
hive,alive,4,0,1,haIv,3,aI,1,4,9.02,@.laIv,4,aI,2,5,8.3,2,3,2
live,alive,4,1,1,lIv,3,I,1,4,8.63,@.laIv,4,aI,2,5,8.3,1,3,2
strive,alive,6,0,1,straIv,5,aI,1,6,6.33,@.laIv,4,aI,2,5,8.3,3,3,3
ball,all,5,0,1,bOl,3,O,1,4,8.14,Ol,2,O,1,3,6.8,1,1,3
call,all,9,0,1,kOl,3,O,1,4,7.93,Ol,2,O,1,3,6.8,1,1,3
fall,all,6,0,1,fOl,3,O,1,4,9.46,Ol,2,O,1,3,6.8,1,1,3
hall,all,6,0,1,hOl,3,O,1,4,8.67,Ol,2,O,1,3,6.8,1,1,3
haul,all,1,0,1,hOl,3,O,1,4,7.44,Ol,2,O,1,3,6.8,2,1,0
mall,all,3,0,1,mOl,3,O,1,4,8.36,Ol,2,O,1,3,6.8,1,1,2
palm,all,1,0,0,pAlm,4,A,1,4,7.61,Ol,2,O,1,3,6.8,2,3,0
stall,all,1,0,1,stOl,4,O,1,5,9.15,Ol,2,O,1,3,6.8,2,2,0
tall,all,3,0,1,tOl,3,O,1,4,8.98,Ol,2,O,1,3,6.8,1,1,2
wall,all,3,0,1,wOl,3,O,1,4,9.13,Ol,2,O,1,3,6.8,1,1,2
cow,allow,1,0,1,kaU,2,a,1,3,8.26,@.laU,3,a,2,5,5.8,3,3,0
how,allow,1,0,1,haU,2,a,1,3,7.91,@.laU,3,a,2,5,5.8,3,3,0
now,allow,1,0,1,naU,2,a,1,3,8.98,@.laU,3,a,2,5,5.8,3,3,0
plow,allow,1,0,1,plaU,3,?,1,4,7.83,@.laU,3,a,2,5,5.8,2,2,0
cloud,allowed,1,0,1,klaUd,4,aU,1,5,6.91,@.laUd,4,aU,2,7,4.5,4,2,0
bone,alone,1,0,1,bon,3,o,1,4,7.68,@.lon,4,o,2,5,6.9,2,3,0
foam,alone,1,0,0,fom,3,o,1,4,7.19,@.lon,4,o,2,5,6.9,4,4,0
lone,alone,5,1,1,lon,3,o,1,4,8.61,@.lon,4,o,2,5,6.9,1,2,3
phone,alone,2,0,1,fon,3,o,1,5,7.19,@.lon,4,o,2,5,6.9,2,3,1
roam,alone,1,0,0,rom,3,o,1,4,7.63,@.lon,4,o,2,5,6.9,4,4,0
stone,alone,1,0,1,ston,4,o,1,5,6.85,@.lon,4,o,2,5,6.9,2,3,0
sing,along,1,1,0,sIN,3,I,1,4,8.14,@.lON,4,O,2,5,10.9,3,4,0
strong,along,1,0,1,strON,5,O,1,6,6.73,@.lON,4,O,2,5,10.9,3,3,0
thong,along,1,0,1,TON,3,O,1,5,12.4,@.lON,4,O,2,5,10.9,2,3,0
laugh,aloud,1,1,0,laf,3,a,1,5,3.54,@.laUd,4,aU,2,5,8.7,4,4,0
scalp,alp,5,0,1,skalp,5,a,1,5,5.84,alp,3,a,1,3,8.7,2,2,3
scalp,alps,1,0,0,skalp,5,a,1,5,5.84,alps,4,a,1,4,5.7,3,3,0
came,am,1,0,0,kem,3,e,1,4,9.21,am,2,a,1,2,10.5,2,2,0
damn,am,1,0,0,dam,3,a,1,4,7.86,am,2,a,1,2,10.5,2,1,0
game,am,1,0,0,gem,3,e,1,4,7.77,am,2,a,1,2,10.5,2,2,0
ham,am,3,0,1,ham,3,a,1,3,8.73,am,2,a,1,2,10.5,1,1,2
jam,am,1,0,1,dZam,3,a,1,3,8.52,am,2,a,1,2,10.5,1,2,0
lamb,am,1,0,1,lam,3,a,1,4,6.27,am,2,a,1,2,10.5,2,1,0
name,am,1,0,0,nem,3,e,1,4,8.36,am,2,a,1,2,10.5,2,2,0
ram,am,1,0,1,ram,3,a,1,3,8.06,am,2,a,1,2,10.5,1,1,0
roam,am,1,0,0,rom,3,o,1,4,7.63,am,2,a,1,2,10.5,2,2,0
shame,am,1,0,0,Sem,3,e,1,5,7.82,am,2,a,1,2,10.5,3,2,0
grass,amass,1,0,1,gras,4,a,1,5,7.86,@.mas,4,a,2,5,3,2,3,0
mass,amass,1,0,1,mas,3,a,1,4,7.57,@.mas,4,a,2,5,3,1,2,0
lamb,amber,1,0,0,lam,3,a,1,4,6.27,am.b@`,4,a,2,5,5.3,3,5,0
send,amend,1,0,1,sEnd,4,E,1,4,7.68,@.mEnd,5,E,2,5,1.8,2,3,0
kid,amid,1,0,1,kId,3,I,1,3,8.29,@.mId,4,I,2,4,7.2,2,3,0
kiss,amiss,1,0,1,kIs,3,I,1,4,7.67,@.mIs,4,I,2,5,2.8,2,3,0
miss,amiss,2,0,1,mIs,3,I,1,4,7.56,@.mIs,4,I,2,5,2.8,1,2,1
lung,among,1,0,1,lVN,3,?,1,4,7.83,@.mVN,4,?,2,5,11.4,3,3,0
sponge,among,1,0,0,spVndZ,5,?,1,6,5.3,@.mVN,4,?,2,5,11.4,3,6,0
tongue,among,2,0,1,tVN,3,?,1,6,4.5,@.mVN,4,?,2,5,11.4,4,3,1
camp,amp,4,0,1,kamp,4,a,1,4,6.37,amp,3,a,1,3,7.7,1,1,2
cramp,amp,4,0,1,kramp,5,a,1,5,5.92,amp,3,a,1,3,7.7,2,2,2
damp,amp,11,0,1,damp,4,a,1,4,7.1,amp,3,a,1,3,7.7,1,1,3
lamp,amp,8,0,1,lamp,4,a,1,4,6.61,amp,3,a,1,3,7.7,1,1,3
stamp,amp,4,0,1,stamp,5,a,1,5,6.88,amp,3,a,1,3,7.7,2,2,2
swamp,amp,6,0,0,swAmp,5,A,1,5,6.87,amp,3,a,1,3,7.7,2,3,3
bruise,amuse,1,0,1,bruz,4,u,1,6,5.93,@.mjuz,5,u,2,5,10.2,3,4,0
bus,amuse,1,0,0,bVs,3,?,1,3,8.49,@.mjuz,5,u,2,5,10.2,3,6,0
cruise,amuse,1,0,1,kruz,4,u,1,6,6.12,@.mjuz,5,u,2,5,10.2,3,4,0
fuse,amuse,1,0,1,fjuz,4,u,1,4,5.22,@.mjuz,5,u,2,5,10.2,2,3,0
ban,an,1,0,1,ban,3,a,1,3,9.42,an,2,a,1,2,11.3,1,1,0
bank,an,1,0,0,baNk,4,a,1,4,7.49,an,2,a,1,2,11.3,2,3,0
can,an,1,0,1,kan,3,a,1,3,9.45,an,2,a,1,2,11.3,1,1,0
cane,an,1,0,0,ken,3,e,1,4,8.33,an,2,a,1,2,11.3,2,2,0
change,an,2,0,0,tSendZ,4,e,1,6,10.85,an,2,a,1,2,11.3,4,5,1
dance,an,1,0,0,dans,4,a,1,5,7.02,an,2,a,1,2,11.3,3,2,0
grant,an,1,0,0,grant,5,a,1,5,6.73,an,2,a,1,2,11.3,3,3,0
jeans,an,1,0,0,dZinz,4,i,1,5,7.2,an,2,a,1,2,11.3,3,4,0
launch,an,1,0,0,lOntS,4,O,1,6,3.29,an,2,a,1,2,11.3,4,4,0
on,an,1,0,0,An,2,A,1,2,10.63,an,2,a,1,2,11.3,1,1,0
pan,an,1,0,1,pan,3,a,1,3,9.37,an,2,a,1,2,11.3,1,1,0
ranch,an,1,0,0,rantS,4,a,1,5,1.45,an,2,a,1,2,11.3,3,3,0
range,an,1,0,0,rendZ,4,e,1,5,4,an,2,a,1,2,11.3,3,4,0
tan,an,1,0,1,tan,3,a,1,3,9.51,an,2,a,1,2,11.3,1,1,0
van,an,1,0,0,van,3,a,1,3,9.66,an,2,a,1,2,11.3,1,1,0
band,and,3,0,1,band,4,a,1,4,8.22,and,3,a,1,3,9.4,1,1,2
brand,and,4,0,1,brand,5,a,1,5,6.74,and,3,a,1,3,9.4,2,2,2
grand,and,1,0,1,grand,5,a,1,5,7.8,and,3,a,1,3,9.4,2,2,0
hand,and,5,0,1,hand,4,a,1,4,9.2,and,3,a,1,3,9.4,1,1,3
land,and,5,0,1,land,4,a,1,4,7.84,and,3,a,1,3,9.4,1,1,3
rank,and,1,0,0,raNk,4,a,1,4,7.52,and,3,a,1,3,9.4,2,3,0
sand,and,6,0,1,sand,4,a,1,4,8.95,and,3,a,1,3,9.4,1,1,3
stand,and,2,0,1,stand,5,a,1,5,4.25,and,3,a,1,3,9.4,2,2,1
than,and,1,0,0,Dan,3,a,1,4,9.06,and,3,a,1,3,9.4,3,2,0
wand,and,10,0,0,wAnd,4,A,1,4,9.21,and,3,a,1,3,9.4,1,2,3
change,anger,1,0,0,tSendZ,4,e,1,6,10.85,aN.g@`,4,a,2,5,5.4,3,6,0
gang,angle,2,0,0,gaN,3,a,1,4,8.01,aN.gl=,4,a,2,5,7.4,3,5,1
range,angle,1,0,0,rendZ,4,e,1,5,4,aN.gl=,4,a,2,5,7.4,2,6,0
rank,ankle,1,0,0,raNk,4,a,1,4,7.52,aN.kl=,4,a,2,5,9.3,3,4,0
tank,ankle,1,0,0,taNk,4,a,1,4,7.65,aN.kl=,4,a,2,5,9.3,3,4,0
