Cue,Target,Frequency,Semantic,Rhyme,PronCue,NPhonCue,PronCue_processed,NSyllCue,cue_Length,cue_Freq_N,PhonTarget,NPhonTarget,PhonTarget_processed,NSyllTarget,Target_Length,Target_Freq_N,word_dist,pron_dist,category
fact,act,6,0,1,fakt,4,a,1,4,8.71,akt,3,a,1,3,8.3,1,1,3
shack,act,1,0,0,Sak,3,a,1,5,7.59,akt,3,a,1,3,8.3,3,2,0
yacht,act,1,0,0,jAt,3,A,1,5,5.02,akt,3,a,1,3,8.3,2,2,0
add,ad,4,0,1,ad,2,a,1,3,8.97,ad,2,a,1,2,10.597,1,0,2
dad,ad,1,0,1,dad,3,a,1,3,8.93,ad,2,a,1,2,10.597,1,1,0
badge,adage,1,0,0,badZ,3,a,1,5,4.66,a.4@dZ,4,a.4@,2,5,2.6,2,4,0
add,addition,1,1,0,ad,2,a,1,3,8.97,@d.I.Sn=,5,I.,3,8,6.7,5,7,0
four,adore,1,0,1,fOr,3,O,1,4,8.21,@.dOr,4,O,2,5,6.2,4,3,0
pour,adore,1,0,1,pOr,3,O,1,4,7.86,@.dOr,4,O,2,5,6.2,4,3,0
corn,adorn,1,0,1,kOrn,4,O,1,4,7.74,@.dOrn,5,O,2,5,8,2,3,0
guise,advise,1,0,1,gaIz,3,aI,1,5,6.66,@d.vaIz,5,aI,2,6,5.7,3,4,0
all,again,1,0,0,Ol,2,O,1,3,6.8,@.gEn,4,E,2,5,7.8,4,5,0
badge,age,2,0,0,badZ,3,a,1,5,4.66,edZ,2,e,1,3,8.7,2,2,1
cage,age,6,0,1,kedZ,3,e,1,4,9.51,edZ,2,e,1,3,8.7,1,1,3
gag,age,1,0,0,gag,3,a,1,3,7.71,edZ,2,e,1,3,8.7,2,3,0
gaze,age,1,0,0,gez,3,e,1,4,7.18,edZ,2,e,1,3,8.7,2,3,0
plague,age,1,0,0,pleg,4,e,1,6,4.74,edZ,2,e,1,3,8.7,3,4,0
rage,age,10,0,1,redZ,3,e,1,4,8.58,edZ,2,e,1,3,8.7,1,1,3
vague,age,1,0,0,veg,3,e,1,5,8.51,edZ,2,e,1,3,8.7,2,3,0
speed,agreed,1,0,1,spid,4,i,1,5,6.15,@.grid,5,i,2,6,8.6,3,4,0
toy,ahoy,1,0,1,tOI,2,O,1,3,9.06,@.hOI,3,O,2,4,1.6,2,3,0
fade,aid,4,0,1,fed,3,e,1,4,7.35,ed,2,e,1,3,9.4,3,1,2
maid,aid,7,0,1,med,3,e,1,4,10,ed,2,e,1,3,9.4,1,1,3
said,aid,5,0,0,sEd,3,E,1,4,8.21,ed,2,e,1,3,9.4,1,2,3
fail,ail,5,0,1,fel,3,e,1,4,7.94,el,2,e,1,3,8.8,1,1,3
hail,ail,2,0,1,hel,3,e,1,4,8.48,el,2,e,1,3,8.8,1,1,1
mail,ail,2,0,1,mel,3,e,1,4,7.45,el,2,e,1,3,8.8,1,1,1
pail,ail,6,0,1,pel,3,e,1,4,8.03,el,2,e,1,3,8.8,1,1,3
rail,ail,2,0,1,rel,3,e,1,4,8.15,el,2,e,1,3,8.8,1,1,1
stale,ail,1,0,1,stel,4,e,1,5,7.83,el,2,e,1,3,8.8,4,2,0
trail,ail,1,0,1,trel,4,e,1,5,7.06,el,2,e,1,3,8.8,2,2,0
blame,aim,1,0,1,blem,4,e,1,5,6.96,em,2,e,1,3,9,4,2,0
fame,aim,2,0,1,fem,3,e,1,4,8.96,em,2,e,1,3,9,3,1,1
gain,aim,1,0,0,gen,3,e,1,4,7.91,em,2,e,1,3,9,2,2,0
rain,aim,1,0,0,ren,3,e,1,4,8.13,em,2,e,1,3,9,2,2,0
aim,aiming,1,1,0,em,2,e,1,3,8.96,em.IN,4,e,2,6,6,3,3,0
aim,air,1,0,0,em,2,e,1,3,8.96,Er,2,E,1,3,7.8,1,2,0
ear,air,1,0,0,Ir,2,I,1,3,9.6,Er,2,E,1,3,7.8,2,1,0
flair,air,9,0,1,flEr,4,E,1,5,6.7,Er,2,E,1,3,7.8,2,2,3
heir,air,7,1,0,Er,2,E,1,4,8.12,Er,2,E,1,3,7.8,2,0,3
pair,air,5,0,1,pEr,3,E,1,4,7.73,Er,2,E,1,3,7.8,1,1,3
rare,air,1,0,1,rEr,3,E,1,4,7.99,Er,2,E,1,3,7.8,3,1,0
stare,air,2,0,1,stEr,4,E,1,5,9.15,Er,2,E,1,3,7.8,4,2,1
far,ajar,1,0,1,fAr,3,A,1,3,9.01,@.dZAr,4,A,2,4,6.4,2,4,0
skin,akin,3,0,1,skIn,4,I,1,4,7.68,@.kIn,4,I,2,4,7.8,1,2,2
pal,al,1,0,1,pal,3,a,1,3,8.42,al,2,a,1,2,10.7,1,1,0
fail,ale,2,0,1,fel,3,e,1,4,7.94,el,2,e,1,3,8.6,3,1,1
frail,ale,2,0,1,frel,4,e,1,5,7.35,el,2,e,1,3,8.6,4,2,1
jail,ale,3,0,1,dZel,3,e,1,4,8.12,el,2,e,1,3,8.6,3,2,2
male,ale,6,0,1,mel,3,e,1,4,7.75,el,2,e,1,3,8.6,1,1,3
pail,ale,5,0,1,pel,3,e,1,4,8.03,el,2,e,1,3,8.6,3,1,3
rail,ale,1,0,1,rel,3,e,1,4,8.15,el,2,e,1,3,8.6,3,1,0
scale,ale,6,0,1,skel,4,e,1,5,6.35,el,2,e,1,3,8.6,2,2,3
tail,ale,1,0,1,tel,3,e,1,4,8.04,el,2,e,1,3,8.6,3,1,0
whale,ale,2,0,1,hwel,4,e,1,5,9.73,el,2,e,1,3,8.6,2,2,1
hurt,alert,1,0,1,h3`t,3,3`,1,4,8.15,@.l3`t,4,3`,2,5,7,3,3,0
skirt,alert,1,0,1,sk3`t,4,3`,1,5,4.52,@.l3`t,4,3`,2,5,7,3,3,0
sail,alias,1,0,0,sel,3,e,1,4,8.47,e.li@s,5,e.,2,5,3,4,5,0
vine,align,1,0,0,vaIn,3,aI,1,4,7.96,@.laIn,4,aI,2,5,10,4,3,0
dive,alive,3,0,1,daIv,3,aI,1,4,8.23,@.laIv,4,aI,2,5,8.3,2,3,2
five,alive,2,0,1,faIv,3,aI,1,4,8.56,@.laIv,4,aI,2,5,8.3,2,3,1
live,alive,4,1,1,lIv,3,I,1,4,8.63,@.laIv,4,aI,2,5,8.3,1,3,2
ball,all,5,0,1,bOl,3,O,1,4,8.14,Ol,2,O,1,3,6.8,1,1,3
fall,all,6,0,1,fOl,3,O,1,4,9.46,Ol,2,O,1,3,6.8,1,1,3
haul,all,1,0,1,hOl,3,O,1,4,7.44,Ol,2,O,1,3,6.8,2,1,0
palm,all,1,0,0,pAlm,4,A,1,4,7.61,Ol,2,O,1,3,6.8,2,3,0
tall,all,3,0,1,tOl,3,O,1,4,8.98,Ol,2,O,1,3,6.8,1,1,2
cow,allow,1,0,1,kaU,2,a,1,3,8.26,@.laU,3,a,2,5,5.8,3,3,0
now,allow,1,0,1,naU,2,a,1,3,8.98,@.laU,3,a,2,5,5.8,3,3,0
cloud,allowed,1,0,1,klaUd,4,aU,1,5,6.91,@.laUd,4,aU,2,7,4.5,4,2,0
foam,alone,1,0,0,fom,3,o,1,4,7.19,@.lon,4,o,2,5,6.9,4,4,0
phone,alone,2,0,1,fon,3,o,1,5,7.19,@.lon,4,o,2,5,6.9,2,3,1
stone,alone,1,0,1,ston,4,o,1,5,6.85,@.lon,4,o,2,5,6.9,2,3,0
strong,along,1,0,1,strON,5,O,1,6,6.73,@.lON,4,O,2,5,10.9,3,3,0
laugh,aloud,1,1,0,laf,3,a,1,5,3.54,@.laUd,4,aU,2,5,8.7,4,4,0
scalp,alps,1,0,0,skalp,5,a,1,5,5.84,alps,4,a,1,4,5.7,3,3,0
damn,am,1,0,0,dam,3,a,1,4,7.86,am,2,a,1,2,10.5,2,1,0
ham,am,3,0,1,ham,3,a,1,3,8.73,am,2,a,1,2,10.5,1,1,2
lamb,am,1,0,1,lam,3,a,1,4,6.27,am,2,a,1,2,10.5,2,1,0
ram,am,1,0,1,ram,3,a,1,3,8.06,am,2,a,1,2,10.5,1,1,0
shame,am,1,0,0,Sem,3,e,1,5,7.82,am,2,a,1,2,10.5,3,2,0
mass,amass,1,0,1,mas,3,a,1,4,7.57,@.mas,4,a,2,5,3,1,2,0
send,amend,1,0,1,sEnd,4,E,1,4,7.68,@.mEnd,5,E,2,5,1.8,2,3,0
kiss,amiss,1,0,1,kIs,3,I,1,4,7.67,@.mIs,4,I,2,5,2.8,2,3,0
lung,among,1,0,1,lVN,3,?,1,4,7.83,@.mVN,4,?,2,5,11.4,3,3,0
tongue,among,2,0,1,tVN,3,?,1,6,4.5,@.mVN,4,?,2,5,11.4,4,3,1
cramp,amp,4,0,1,kramp,5,a,1,5,5.92,amp,3,a,1,3,7.7,2,2,2
lamp,amp,8,0,1,lamp,4,a,1,4,6.61,amp,3,a,1,3,7.7,1,1,3
swamp,amp,6,0,0,swAmp,5,A,1,5,6.87,amp,3,a,1,3,7.7,2,3,3
bus,amuse,1,0,0,bVs,3,?,1,3,8.49,@.mjuz,5,u,2,5,10.2,3,6,0
fuse,amuse,1,0,1,fjuz,4,u,1,4,5.22,@.mjuz,5,u,2,5,10.2,2,3,0
bank,an,1,0,0,baNk,4,a,1,4,7.49,an,2,a,1,2,11.3,2,3,0
cane,an,1,0,0,ken,3,e,1,4,8.33,an,2,a,1,2,11.3,2,2,0
dance,an,1,0,0,dans,4,a,1,5,7.02,an,2,a,1,2,11.3,3,2,0
jeans,an,1,0,0,dZinz,4,i,1,5,7.2,an,2,a,1,2,11.3,3,4,0
on,an,1,0,0,An,2,A,1,2,10.63,an,2,a,1,2,11.3,1,1,0
ranch,an,1,0,0,rantS,4,a,1,5,1.45,an,2,a,1,2,11.3,3,3,0
tan,an,1,0,1,tan,3,a,1,3,9.51,an,2,a,1,2,11.3,1,1,0
band,and,3,0,1,band,4,a,1,4,8.22,and,3,a,1,3,9.4,1,1,2
grand,and,1,0,1,grand,5,a,1,5,7.8,and,3,a,1,3,9.4,2,2,0
land,and,5,0,1,land,4,a,1,4,7.84,and,3,a,1,3,9.4,1,1,3
sand,and,6,0,1,sand,4,a,1,4,8.95,and,3,a,1,3,9.4,1,1,3
than,and,1,0,0,Dan,3,a,1,4,9.06,and,3,a,1,3,9.4,3,2,0
change,anger,1,0,0,tSendZ,4,e,1,6,10.85,aN.g@`,4,a,2,5,5.4,3,6,0
range,angle,1,0,0,rendZ,4,e,1,5,4,aN.gl=,4,a,2,5,7.4,2,6,0
tank,ankle,1,0,0,taNk,4,a,1,4,7.65,aN.kl=,4,a,2,5,9.3,3,4,0
grant,ant,2,0,1,grant,5,a,1,5,6.73,ant,3,a,1,3,9.7,2,2,1
plant,ant,9,0,1,plant,5,a,1,5,7.8,ant,3,a,1,3,9.7,2,2,3
want,ant,10,0,0,wAnt,4,A,1,4,7.45,ant,3,a,1,3,9.7,1,2,3
dance,ants,2,0,1,dans,4,a,1,5,7.02,ants,4,a,1,4,7.5,3,2,1
cape,ape,7,0,1,kep,3,e,1,4,8.5,ep,2,e,1,3,8.7,1,1,3
nap,ape,1,0,0,nap,3,a,1,3,7.39,ep,2,e,1,3,8.7,2,2,0
shape,ape,5,0,1,Sep,3,e,1,5,8.34,ep,2,e,1,3,8.7,2,1,3
heel,appeal,1,0,1,hil,3,i,1,4,8.67,@.pil,4,i,2,6,10.7,4,3,0
reel,appeal,1,0,1,ril,3,i,1,4,8.36,@.pil,4,i,2,6,10.7,4,3,0
pear,appear,1,0,0,pEr,3,E,1,4,8.99,@.pIr,4,I,2,6,9.4,2,3,0
pride,applied,1,0,1,praId,4,aI,1,5,7.4,@.plaId,5,aI,2,7,9.5,5,3,0
crab,arab,1,0,0,krab,4,a,1,4,7.59,a.r@b,4,a.,2,4,6.7,1,3,0
arch,arc,6,0,0,ArtS,3,A,1,4,5.66,Ark,3,A,1,3,9.5,1,2,3
dark,arc,2,0,1,dArk,4,A,1,4,7.84,Ark,3,A,1,3,9.5,2,1,1
mark,arc,2,0,1,mArk,4,A,1,4,7.71,Ark,3,A,1,3,9.5,2,1,1
bark,arch,1,0,0,bArk,4,A,1,4,7.68,ArtS,3,A,1,4,5.7,3,3,0
charge,arch,1,0,0,tSArdZ,4,A,1,6,11.96,ArtS,3,A,1,4,5.7,4,4,0
search,arch,2,0,0,s3`tS,3,3`,1,6,6.44,ArtS,3,A,1,4,5.7,2,3,1
air,are,1,0,0,Er,2,E,1,3,7.82,Ar,2,A,1,3,7.6,2,1,0
care,are,6,0,0,kEr,3,E,1,4,8.66,Ar,2,A,1,3,7.6,1,2,3
czar,are,1,0,1,zAr,3,A,1,4,9.9,Ar,2,A,1,3,7.6,3,1,0
far,are,1,0,1,fAr,3,A,1,3,9.01,Ar,2,A,1,3,7.6,2,1,0
hare,are,2,0,0,hEr,3,E,1,4,8.51,Ar,2,A,1,3,7.6,1,2,1
mare,are,3,0,0,mEr,3,E,1,4,8.31,Ar,2,A,1,3,7.6,1,2,2
scare,are,1,0,0,skEr,4,E,1,5,8.12,Ar,2,A,1,3,7.6,2,3,0
snare,are,2,0,0,snEr,4,E,1,5,8.06,Ar,2,A,1,3,7.6,2,3,1
square,are,5,0,0,skwEr,5,E,1,6,7.43,Ar,2,A,1,3,7.6,3,4,3
stare,are,1,0,0,stEr,4,E,1,5,9.15,Ar,2,A,1,3,7.6,2,3,0
tar,are,2,0,1,tAr,3,A,1,3,9.1,Ar,2,A,1,3,7.6,2,1,1
bark,ark,9,0,1,bArk,4,A,1,4,7.68,Ark,3,A,1,3,9.1,1,1,3
mark,ark,7,0,1,mArk,4,A,1,4,7.71,Ark,3,A,1,3,9.1,1,1,3
plague,ark,1,0,0,pleg,4,e,1,6,4.74,Ark,3,A,1,3,9.1,5,4,0
charm,arm,8,0,1,tSArm,4,A,1,5,6.94,Arm,3,A,1,3,9.1,2,2,3
form,arm,1,0,0,fOrm,4,O,1,4,8.27,Arm,3,A,1,3,9.1,2,2,0
warm,arm,6,0,0,wOrm,4,O,1,4,8.05,Arm,3,A,1,3,9.1,1,2,3
prose,arose,1,0,1,proz,4,o,1,5,6.42,@`.roz,4,o,2,5,8.1,1,3,0
noun,around,1,0,0,naUn,3,aU,1,4,6.02,@`.raUnd,5,aU,2,6,5.9,3,5,0
round,arouse,1,0,0,raUnd,4,aU,1,5,9.45,@`.raUz,4,aU,2,6,5.2,3,5,0
drive,arrive,3,0,1,draIv,4,aI,1,5,8.81,@`.raIv,4,aI,2,6,2.8,2,3,2
tribe,arrive,2,0,0,traIb,4,aI,1,5,5.77,@`.raIv,4,aI,2,6,2.8,3,4,1
cart,art,6,0,1,kArt,4,A,1,4,8.41,Art,3,A,1,3,8.8,1,1,3
dart,art,8,0,1,dArt,4,A,1,4,8.31,Art,3,A,1,3,8.8,1,1,3
hard,art,1,0,0,hArd,4,A,1,4,7.75,Art,3,A,1,3,8.8,2,2,0
hearth,art,1,0,0,hArT,4,A,1,6,8.1,Art,3,A,1,3,8.8,3,2,0
quart,art,5,0,0,kwOrt,5,O,1,5,6.17,Art,3,A,1,3,8.8,2,3,3
smart,art,5,0,1,smArt,5,A,1,5,8.03,Art,3,A,1,3,8.8,2,2,3
tart,art,5,0,1,tArt,4,A,1,4,6.76,Art,3,A,1,3,8.8,1,1,3
yard,art,2,0,0,jArd,4,A,1,4,8.68,Art,3,A,1,3,8.8,2,2,1
base,as,1,0,0,bes,3,e,1,4,7.55,az,2,a,1,2,10.9,2,3,0
chasm,as,1,0,0,ka.zm=,4,a.,2,5,8.68,az,2,a,1,2,10.9,3,4,0
fast,as,1,0,0,fast,4,a,1,4,8.47,az,2,a,1,2,10.9,2,3,0
grasp,as,1,0,0,grasp,5,a,1,5,8.9,az,2,a,1,2,10.9,3,4,0
safe,as,1,0,0,sef,3,e,1,4,8.53,az,2,a,1,2,10.9,3,3,0
taste,as,1,0,0,test,4,e,1,5,7.58,az,2,a,1,2,10.9,3,4,0
wasp,as,2,0,0,wAsp,4,A,1,4,7.08,az,2,a,1,2,10.9,2,4,1
bash,ash,4,0,1,baS,3,a,1,4,7.1,aS,2,a,1,3,7.8,1,1,2
cash,ash,6,0,1,kaS,3,a,1,4,7.57,aS,2,a,1,3,7.8,1,1,3
dash,ash,6,0,1,daS,3,a,1,4,7.81,aS,2,a,1,3,7.8,1,1,3
fresh,ash,1,0,0,frES,4,E,1,5,9.33,aS,2,a,1,3,7.8,3,3,0
hatch,ash,1,0,0,hatS,3,a,1,5,7.26,aS,2,a,1,3,7.8,3,2,0
mash,ash,4,0,1,maS,3,a,1,4,7.9,aS,2,a,1,3,7.8,1,1,2
path,ash,1,0,0,paT,3,a,1,4,6.64,aS,2,a,1,3,7.8,2,2,0
smash,ash,1,0,1,smaS,4,a,1,5,6.18,aS,2,a,1,3,7.8,2,2,0
wash,ash,13,0,0,wAS,3,A,1,4,7.6,aS,2,a,1,3,7.8,1,2,3
cast,ask,1,0,0,kast,4,a,1,4,8.39,ask,3,a,1,3,7.4,2,2,0
grasp,ask,1,0,0,grasp,5,a,1,5,8.9,ask,3,a,1,3,7.4,3,3,0
task,ask,7,0,1,task,4,a,1,4,7.78,ask,3,a,1,3,7.4,1,1,3
grasp,asp,3,0,1,grasp,5,a,1,5,8.9,asp,3,a,1,3,8.6,2,2,2
as,ass,11,0,0,az,2,a,1,2,10.87,as,2,a,1,3,8.3,1,1,3
bass,ass,11,0,1,bes,3,e,1,4,7.4,as,2,a,1,3,8.3,1,2,3
class,ass,3,0,1,klas,4,a,1,5,6.98,as,2,a,1,3,8.3,2,2,2
glass,ass,5,0,1,glas,4,a,1,5,9.05,as,2,a,1,3,8.3,2,2,3
last,ass,1,0,0,last,4,a,1,4,8.4,as,2,a,1,3,8.3,2,2,0
hurt,assert,3,0,1,h3`t,3,3`,1,4,8.15,@.s3`t,4,3`,2,6,4.5,4,3,2
whom,assume,1,0,1,hum,3,u,1,4,5.98,@.sum,4,u,2,6,8.8,5,3,0
bath,at,1,0,0,baT,3,a,1,4,7.34,at,2,a,1,2,10.8,2,2,0
eat,at,1,0,0,it,2,i,1,3,8.49,at,2,a,1,2,10.8,1,1,0
gnat,at,2,0,1,nat,3,a,1,4,5.33,at,2,a,1,2,10.8,2,1,1
pat,at,1,0,1,pat,3,a,1,3,8.73,at,2,a,1,2,10.8,1,1,0
snatch,at,1,0,0,snatS,4,a,1,6,5.09,at,2,a,1,2,10.8,4,3,0
suave,at,1,0,0,swAv,4,A,1,5,7.51,at,2,a,1,2,10.8,4,4,0
watt,at,2,0,0,wAt,3,A,1,4,7.65,at,2,a,1,2,10.8,2,2,1
date,ate,7,0,1,det,3,e,1,4,8.18,et,2,e,1,3,8.2,1,1,3
eight,ate,1,0,1,et,2,e,1,5,9.85,et,2,e,1,3,8.2,5,0,0
fate,ate,6,0,1,fet,3,e,1,4,8.22,et,2,e,1,3,8.2,1,1,3
great,ate,2,0,1,gret,4,e,1,5,5.25,et,2,e,1,3,8.2,4,2,1
late,ate,2,0,1,let,3,e,1,4,7.14,et,2,e,1,3,8.2,1,1,1
plate,ate,6,0,1,plet,4,e,1,5,7.02,et,2,e,1,3,8.2,2,2,3
skate,ate,2,0,1,sket,4,e,1,5,8.27,et,2,e,1,3,8.2,2,2,1
wait,ate,1,0,1,wet,3,e,1,4,6.84,et,2,e,1,3,8.2,3,1,0
hatch,attach,1,0,1,hatS,3,a,1,5,7.26,@.tatS,4,a,2,6,10.7,3,3,0
match,attach,2,0,0,matS,3,a,1,5,7.73,@.tatS,4,a,2,6,10.7,3,3,1
stack,attach,1,0,0,stak,4,a,1,5,8.08,@.tatS,4,a,2,6,10.7,3,4,0
crack,attack,1,0,1,krak,4,a,1,5,6.63,@.tak,4,a,2,6,8.9,3,3,0
plaque,attack,1,0,1,plak,4,a,1,6,5.38,@.tak,4,a,2,6,8.9,6,3,0
rack,attack,1,0,1,rak,3,a,1,4,8.88,@.tak,4,a,2,6,8.9,3,3,0
shack,attack,1,0,1,Sak,3,a,1,5,7.59,@.tak,4,a,2,6,8.9,3,3,0
tack,attack,1,0,1,tak,3,a,1,4,9.16,@.tak,4,a,2,6,8.9,2,2,0
yak,attack,1,0,1,jak,3,a,1,3,6.7,@.tak,4,a,2,6,8.9,4,3,0
mood,attitude,1,1,0,mud,3,u,1,4,8.7,a.4@.tud,6,a.4@.,3,8,7.33,7,6,0
draught,aught,1,0,1,draft,5,a,1,7,6.51,Ot,2,O,1,5,9.6,2,4,0
gaunt,aunt,6,0,1,gOnt,4,O,1,5,4.98,ant,3,a,1,4,7.1,1,2,3
plant,aunt,1,0,0,plant,5,a,1,5,7.8,ant,3,a,1,4,7.1,3,2,0
want,aunt,2,0,1,wAnt,4,A,1,4,7.45,ant,3,a,1,4,7.1,2,2,1
quay,away,1,0,1,ki,2,i,1,4,6.53,@.we,3,e,2,4,6.7,2,4,0
gnaw,awe,1,0,1,nO,2,O,1,4,7.13,O,1,O,1,3,8.2,3,1,0
saw,awe,2,0,1,sO,2,O,1,3,8.22,O,1,O,1,3,8.2,2,1,1
thaw,awe,2,0,1,TO,2,O,1,4,8.46,O,1,O,1,3,8.2,3,1,1
dawn,awning,1,0,0,dOn,3,O,1,4,8.03,O.nIN,4,O.,2,6,4.4,4,4,0
yawn,awning,2,0,0,jOn,3,O,1,4,6.12,O.nIN,4,O.,2,6,4.4,4,4,1
hoax,ax,1,0,0,hoks,4,o,1,4,5.41,aks,3,a,1,2,10.8,2,2,0
tax,ax,3,0,1,taks,4,a,1,3,8.22,aks,3,a,1,2,10.8,1,1,2
ax,axe,5,0,1,aks,3,a,1,2,10.8,aks,3,a,1,3,8.7,1,0,3
wax,axe,4,0,1,waks,4,a,1,3,9.24,aks,3,a,1,3,8.7,2,1,2
ache,back,1,1,0,ek,2,e,1,4,6.82,bak,3,a,1,4,7.9,3,2,0
bask,back,1,0,0,bask,4,a,1,4,7.81,bak,3,a,1,4,7.9,1,1,0
cab,back,1,0,0,kab,3,a,1,3,8.3,bak,3,a,1,4,7.9,3,2,0
fact,back,1,0,0,fakt,4,a,1,4,8.71,bak,3,a,1,4,7.9,2,2,0
knack,back,3,0,1,nak,3,a,1,5,8.13,bak,3,a,1,4,7.9,2,1,2
neck,back,1,1,0,nEk,3,E,1,4,8.83,bak,3,a,1,4,7.9,2,2,0
past,back,1,1,0,past,4,a,1,4,8.11,bak,3,a,1,4,7.9,3,3,0
plaque,back,2,0,1,plak,4,a,1,6,5.38,bak,3,a,1,4,7.9,5,2,1
rack,back,3,0,1,rak,3,a,1,4,8.88,bak,3,a,1,4,7.9,1,1,2
scrap,back,1,0,0,skrap,5,a,1,5,4.91,bak,3,a,1,4,7.9,5,4,0
slap,back,2,0,0,slap,4,a,1,4,7.18,bak,3,a,1,4,7.9,4,3,1
snap,back,1,0,0,snap,4,a,1,4,7.68,bak,3,a,1,4,7.9,4,3,0
stack,back,2,0,1,stak,4,a,1,5,8.08,bak,3,a,1,4,7.9,2,2,1
track,back,2,0,1,trak,4,a,1,5,8.05,bak,3,a,1,4,7.9,2,2,1
whack,back,2,0,1,hwak,4,a,1,5,6.06,bak,3,a,1,4,7.9,2,2,1
badge,bad,7,0,0,badZ,3,a,1,5,4.66,bad,3,a,1,3,8.8,2,1,3
bomb,bad,1,0,0,bAm,3,A,1,4,7.54,bad,3,a,1,3,8.8,3,2,0
fad,bad,3,0,1,fad,3,a,1,3,9.24,bad,3,a,1,3,8.8,1,1,2
harm,bad,1,0,0,hArm,4,A,1,4,7.64,bad,3,a,1,3,8.8,3,4,0
mood,bad,1,1,0,mud,3,u,1,4,8.7,bad,3,a,1,3,8.8,3,2,0
plaid,bad,1,0,1,plad,4,a,1,5,7.63,bad,3,a,1,3,8.8,3,2,0
aid,bade,5,0,1,ed,2,e,1,3,9.43,bad,3,a,1,4,7,3,2,3
grade,bade,1,0,1,gred,4,e,1,5,7.68,bad,3,a,1,4,7,2,3,0
maid,bade,1,0,1,med,3,e,1,4,10,bad,3,a,1,4,7,3,2,0
bridge,badge,1,0,0,brIdZ,4,I,1,6,6.66,badZ,3,a,1,5,4.7,2,2,0
