Cue,Target,Frequency,Semantic,Rhyme,PronCue,NPhonCue,PronCue_processed,NSyllCue,cue_Length,cue_Freq_N,PhonTarget,NPhonTarget,PhonTarget_processed,NSyllTarget,Target_Length,Target_Freq_N,word_dist,pron_dist,category
plaque,age,1,0,0,plak,4,a,1,6,5.38,edZ,2,e,1,3,8.7,4,4,0
stage,age,12,0,1,stedZ,4,e,1,5,6.59,edZ,2,e,1,3,8.7,2,2,3
wage,age,8,0,1,wedZ,3,e,1,4,7.82,edZ,2,e,1,3,8.7,1,1,3
rays,ahead,1,0,0,rez,3,e,1,4,7.48,@.hEd,4,E,2,5,7.6,5,5,0
ad,aid,1,0,0,ad,2,a,1,2,10.6,ed,2,e,1,3,9.4,1,1,0
made,aid,3,0,1,med,3,e,1,4,7.33,ed,2,e,1,3,9.4,3,1,2
plaid,aid,1,0,0,plad,4,a,1,5,7.63,ed,2,e,1,3,9.4,2,3,0
suede,aid,1,0,1,swed,4,e,1,5,5.81,ed,2,e,1,3,9.4,4,2,0
flail,ail,5,0,1,flel,4,e,1,5,7.29,el,2,e,1,3,8.8,2,2,3
jail,ail,2,0,1,dZel,3,e,1,4,8.12,el,2,e,1,3,8.8,1,2,1
nail,ail,2,0,1,nel,3,e,1,4,8.27,el,2,e,1,3,8.8,1,1,1
pale,ail,2,0,1,pel,3,e,1,4,7.54,el,2,e,1,3,8.8,3,1,1
sail,ail,5,0,1,sel,3,e,1,4,8.47,el,2,e,1,3,8.8,1,1,3
tail,ail,3,0,1,tel,3,e,1,4,8.04,el,2,e,1,3,8.8,1,1,2
whale,ail,3,0,1,hwel,4,e,1,5,9.73,el,2,e,1,3,8.8,4,2,2
claim,aim,1,0,1,klem,4,e,1,5,6.5,em,2,e,1,3,9,2,2,0
flame,aim,1,0,1,flem,4,e,1,5,7.87,em,2,e,1,3,9,4,2,0
name,aim,1,0,1,nem,3,e,1,4,8.36,em,2,e,1,3,9,3,1,0
tame,aim,1,0,1,tem,3,e,1,4,9.05,em,2,e,1,3,9,3,1,0
aid,air,1,0,0,ed,2,e,1,3,9.43,Er,2,E,1,3,7.8,1,2,0
chair,air,1,0,1,tSEr,3,E,1,5,8.07,Er,2,E,1,3,7.8,2,2,0
fair,air,4,0,1,fEr,3,E,1,4,7.43,Er,2,E,1,3,7.8,1,1,2
hair,air,7,0,1,hEr,3,E,1,4,8.68,Er,2,E,1,3,7.8,1,1,3
lair,air,5,0,1,lEr,3,E,1,4,8.28,Er,2,E,1,3,7.8,1,1,3
prayer,air,1,0,0,prEr,4,E,1,6,7.52,Er,2,E,1,3,7.8,4,2,0
stair,air,5,0,1,stEr,4,E,1,5,6.76,Er,2,E,1,3,7.8,2,2,3
isle,aisle,10,0,1,aIl,2,aI,1,4,5.06,aIl,2,aI,1,5,5.6,1,0,3
kin,akin,1,0,1,kIn,3,I,1,3,8.78,@.kIn,4,I,2,4,7.8,1,2,0
FALSE,al,1,0,0,fOls,4,O,1,5,3.47,al,2,a,1,2,10.7,5,3,0
talc,al,1,0,0,talk,4,a,1,4,8.56,al,2,a,1,2,10.7,2,2,0
flail,ale,3,0,1,flel,4,e,1,5,7.29,el,2,e,1,3,8.6,4,2,2
hail,ale,1,0,1,hel,3,e,1,4,8.48,el,2,e,1,3,8.6,3,1,0
mail,ale,1,0,1,mel,3,e,1,4,7.45,el,2,e,1,3,8.6,3,1,0
nail,ale,1,0,1,nel,3,e,1,4,8.27,el,2,e,1,3,8.6,3,1,0
pale,ale,24,0,1,pel,3,e,1,4,7.54,el,2,e,1,3,8.6,1,1,3
sale,ale,5,0,1,sel,3,e,1,4,8,el,2,e,1,3,8.6,1,1,3
stale,ale,5,0,1,stel,4,e,1,5,7.83,el,2,e,1,3,8.6,2,2,3
tale,ale,8,0,1,tel,3,e,1,4,7.86,el,2,e,1,3,8.6,1,1,3
dirt,alert,1,0,1,d3`t,3,3`,1,4,7.01,@.l3`t,4,3`,2,5,7,3,3,0
shirt,alert,1,0,1,S3`t,3,3`,1,5,6.51,@.l3`t,4,3`,2,5,7,3,3,0
flex,alex,1,0,1,flEks,5,E,1,4,6.93,a.lIks,5,a.,2,4,5.7,1,3,0
sign,align,3,0,1,saIn,3,aI,1,4,9.05,@.laIn,4,aI,2,5,10,2,3,2
bribe,alive,1,0,0,braIb,4,aI,1,5,7.69,@.laIv,4,aI,2,5,8.3,3,4,0
drive,alive,3,0,1,draIv,4,aI,1,5,8.81,@.laIv,4,aI,2,5,8.3,2,3,2
hive,alive,4,0,1,haIv,3,aI,1,4,9.02,@.laIv,4,aI,2,5,8.3,2,3,2
strive,alive,6,0,1,straIv,5,aI,1,6,6.33,@.laIv,4,aI,2,5,8.3,3,3,3
call,all,9,0,1,kOl,3,O,1,4,7.93,Ol,2,O,1,3,6.8,1,1,3
hall,all,6,0,1,hOl,3,O,1,4,8.67,Ol,2,O,1,3,6.8,1,1,3
mall,all,3,0,1,mOl,3,O,1,4,8.36,Ol,2,O,1,3,6.8,1,1,2
stall,all,1,0,1,stOl,4,O,1,5,9.15,Ol,2,O,1,3,6.8,2,2,0
wall,all,3,0,1,wOl,3,O,1,4,9.13,Ol,2,O,1,3,6.8,1,1,2
how,allow,1,0,1,haU,2,a,1,3,7.91,@.laU,3,a,2,5,5.8,3,3,0
plow,allow,1,0,1,plaU,3,?,1,4,7.83,@.laU,3,a,2,5,5.8,2,2,0
bone,alone,1,0,1,bon,3,o,1,4,7.68,@.lon,4,o,2,5,6.9,2,3,0
lone,alone,5,1,1,lon,3,o,1,4,8.61,@.lon,4,o,2,5,6.9,1,2,3
roam,alone,1,0,0,rom,3,o,1,4,7.63,@.lon,4,o,2,5,6.9,4,4,0
sing,along,1,1,0,sIN,3,I,1,4,8.14,@.lON,4,O,2,5,10.9,3,4,0
thong,along,1,0,1,TON,3,O,1,5,12.4,@.lON,4,O,2,5,10.9,2,3,0
scalp,alp,5,0,1,skalp,5,a,1,5,5.84,alp,3,a,1,3,8.7,2,2,3
came,am,1,0,0,kem,3,e,1,4,9.21,am,2,a,1,2,10.5,2,2,0
game,am,1,0,0,gem,3,e,1,4,7.77,am,2,a,1,2,10.5,2,2,0
jam,am,1,0,1,dZam,3,a,1,3,8.52,am,2,a,1,2,10.5,1,2,0
name,am,1,0,0,nem,3,e,1,4,8.36,am,2,a,1,2,10.5,2,2,0
roam,am,1,0,0,rom,3,o,1,4,7.63,am,2,a,1,2,10.5,2,2,0
grass,amass,1,0,1,gras,4,a,1,5,7.86,@.mas,4,a,2,5,3,2,3,0
lamb,amber,1,0,0,lam,3,a,1,4,6.27,am.b@`,4,a,2,5,5.3,3,5,0
kid,amid,1,0,1,kId,3,I,1,3,8.29,@.mId,4,I,2,4,7.2,2,3,0
miss,amiss,2,0,1,mIs,3,I,1,4,7.56,@.mIs,4,I,2,5,2.8,1,2,1
sponge,among,1,0,0,spVndZ,5,?,1,6,5.3,@.mVN,4,?,2,5,11.4,3,6,0
camp,amp,4,0,1,kamp,4,a,1,4,6.37,amp,3,a,1,3,7.7,1,1,2
damp,amp,11,0,1,damp,4,a,1,4,7.1,amp,3,a,1,3,7.7,1,1,3
stamp,amp,4,0,1,stamp,5,a,1,5,6.88,amp,3,a,1,3,7.7,2,2,2
bruise,amuse,1,0,1,bruz,4,u,1,6,5.93,@.mjuz,5,u,2,5,10.2,3,4,0
cruise,amuse,1,0,1,kruz,4,u,1,6,6.12,@.mjuz,5,u,2,5,10.2,3,4,0
ban,an,1,0,1,ban,3,a,1,3,9.42,an,2,a,1,2,11.3,1,1,0
can,an,1,0,1,kan,3,a,1,3,9.45,an,2,a,1,2,11.3,1,1,0
change,an,2,0,0,tSendZ,4,e,1,6,10.85,an,2,a,1,2,11.3,4,5,1
grant,an,1,0,0,grant,5,a,1,5,6.73,an,2,a,1,2,11.3,3,3,0
launch,an,1,0,0,lOntS,4,O,1,6,3.29,an,2,a,1,2,11.3,4,4,0
pan,an,1,0,1,pan,3,a,1,3,9.37,an,2,a,1,2,11.3,1,1,0
range,an,1,0,0,rendZ,4,e,1,5,4,an,2,a,1,2,11.3,3,4,0
van,an,1,0,0,van,3,a,1,3,9.66,an,2,a,1,2,11.3,1,1,0
brand,and,4,0,1,brand,5,a,1,5,6.74,and,3,a,1,3,9.4,2,2,2
hand,and,5,0,1,hand,4,a,1,4,9.2,and,3,a,1,3,9.4,1,1,3
rank,and,1,0,0,raNk,4,a,1,4,7.52,and,3,a,1,3,9.4,2,3,0
stand,and,2,0,1,stand,5,a,1,5,4.25,and,3,a,1,3,9.4,2,2,1
wand,and,10,0,0,wAnd,4,A,1,4,9.21,and,3,a,1,3,9.4,1,2,3
gang,angle,2,0,0,gaN,3,a,1,4,8.01,aN.gl=,4,a,2,5,7.4,3,5,1
rank,ankle,1,0,0,raNk,4,a,1,4,7.52,aN.kl=,4,a,2,5,9.3,3,4,0
aunt,ant,9,0,1,ant,3,a,1,4,7.11,ant,3,a,1,3,9.7,1,0,3
pants,ant,2,0,0,pants,5,a,1,5,6.08,ant,3,a,1,3,9.7,2,2,1
taunt,ant,1,0,0,tOnt,4,O,1,5,4.71,ant,3,a,1,3,9.7,2,2,0
chance,ants,3,0,0,tSans,4,a,1,6,8.09,ants,4,a,1,4,7.5,4,3,2
pants,ants,15,0,1,pants,5,a,1,5,6.08,ants,4,a,1,4,7.5,1,1,3
grape,ape,4,0,1,grep,4,e,1,5,6.89,ep,2,e,1,3,8.7,2,2,2
rape,ape,6,0,1,rep,3,e,1,4,7.53,ep,2,e,1,3,8.7,1,1,3
tape,ape,5,0,1,tep,3,e,1,4,7.3,ep,2,e,1,3,8.7,1,1,3
peel,appeal,1,0,1,pil,3,i,1,4,7.31,@.pil,4,i,2,6,10.7,3,2,0
squeal,appeal,3,0,1,skwil,5,i,1,6,6.25,@.pil,4,i,2,6,10.7,3,3,2
smear,appear,1,0,1,smIr,4,I,1,5,7.58,@.pIr,4,I,2,6,9.4,3,3,0
raft,apt,1,0,0,raft,4,a,1,4,5.35,apt,3,a,1,3,8.6,2,2,0
stab,arab,1,0,0,stab,4,a,1,4,7.81,a.r@b,4,a.,2,4,6.7,2,4,0
bark,arc,1,0,1,bArk,4,A,1,4,7.68,Ark,3,A,1,3,9.5,2,1,0
march,arc,1,0,0,mArtS,4,A,1,5,5.98,Ark,3,A,1,3,9.5,2,3,0
ache,arch,1,0,0,ek,2,e,1,4,6.82,ArtS,3,A,1,4,5.7,2,4,0
carve,arch,1,0,0,kArv,4,A,1,5,5.45,ArtS,3,A,1,4,5.7,3,3,0
march,arch,15,0,1,mArtS,4,A,1,5,5.98,ArtS,3,A,1,4,5.7,1,1,3
starch,arch,12,0,1,stArtS,5,A,1,6,4.29,ArtS,3,A,1,4,5.7,2,2,3
arch,are,1,0,0,ArtS,3,A,1,4,5.66,Ar,2,A,1,3,7.6,2,2,0
carve,are,1,0,0,kArv,4,A,1,5,5.45,Ar,2,A,1,3,7.6,2,2,0
dare,are,1,0,0,dEr,3,E,1,4,7.85,Ar,2,A,1,3,7.6,1,2,0
glare,are,1,0,0,glEr,4,E,1,5,5.88,Ar,2,A,1,3,7.6,2,3,0
hoarse,are,1,0,0,hOrs,4,O,1,6,6.12,Ar,2,A,1,3,7.6,3,3,0
rare,are,3,0,0,rEr,3,E,1,4,7.99,Ar,2,A,1,3,7.6,1,2,2
share,are,1,0,0,SEr,3,E,1,5,7.89,Ar,2,A,1,3,7.6,2,2,0
spare,are,1,0,0,spEr,4,E,1,5,7.77,Ar,2,A,1,3,7.6,2,3,0
star,are,1,0,1,stAr,4,A,1,4,7.53,Ar,2,A,1,3,7.6,3,2,0
starve,are,1,0,0,stArv,5,A,1,6,4.11,Ar,2,A,1,3,7.6,3,3,0
war,are,1,0,0,wOr,3,O,1,3,9.39,Ar,2,A,1,3,7.6,2,2,0
dark,ark,6,0,1,dArk,4,A,1,4,7.84,Ark,3,A,1,3,9.1,1,1,3
park,ark,7,0,0,pArk,4,A,1,4,7.77,Ark,3,A,1,3,9.1,1,1,3
shark,ark,3,0,1,SArk,4,A,1,5,7.56,Ark,3,A,1,3,9.1,2,1,2
farm,arm,14,0,0,fArm,4,A,1,4,7.25,Arm,3,A,1,3,9.1,1,1,3
harm,arm,11,0,1,hArm,4,A,1,4,7.64,Arm,3,A,1,3,9.1,1,1,3
warn,arm,2,0,0,wOrn,4,O,1,4,8.03,Arm,3,A,1,3,9.1,2,3,1
bound,around,1,0,1,baUnd,4,aU,1,5,9.64,@`.raUnd,5,aU,2,6,5.9,2,4,0
round,around,1,0,1,raUnd,4,aU,1,5,9.45,@`.raUnd,5,aU,2,6,5.9,1,3,0
stray,array,3,0,1,stre,4,?,1,5,6.2,@`.re,3,e,2,5,4.6,2,3,2
strive,arrive,1,0,1,straIv,5,aI,1,6,6.33,@`.raIv,4,aI,2,6,2.8,2,3,0
arts,art,5,0,0,Arts,4,A,1,4,7.13,Art,3,A,1,3,8.8,1,1,3
chart,art,3,0,1,tSArt,4,A,1,5,7.05,Art,3,A,1,3,8.8,2,2,2
earth,art,2,0,0,3`T,2,3`,1,5,7.05,Art,3,A,1,3,8.8,2,3,1
heart,art,1,0,1,hArt,4,A,1,5,6.97,Art,3,A,1,3,8.8,2,1,0
part,art,9,0,1,pArt,4,A,1,4,7.18,Art,3,A,1,3,8.8,1,1,3
quartz,art,3,0,0,kwOrts,6,O,1,6,6.19,Art,3,A,1,3,8.8,3,4,2
start,art,2,0,1,stArt,5,A,1,5,7.95,Art,3,A,1,3,8.8,2,2,1
wart,art,4,0,0,wOrt,4,O,1,4,8.4,Art,3,A,1,3,8.8,1,2,2
ass,as,3,0,0,as,2,a,1,3,8.34,az,2,a,1,2,10.9,1,1,2
baste,as,1,0,0,best,4,e,1,5,8.02,az,2,a,1,2,10.9,3,4,0
ease,as,1,0,1,iz,2,i,1,4,8.4,az,2,a,1,2,10.9,2,1,0
gas,as,3,0,0,gas,3,a,1,3,8.45,az,2,a,1,2,10.9,1,2,2
is,as,1,0,0,Iz,2,I,1,2,11.39,az,2,a,1,2,10.9,1,1,0
swab,as,1,0,0,swAb,4,A,1,4,7.09,az,2,a,1,2,10.9,3,4,0
vast,as,1,0,0,vast,4,a,1,4,7.83,az,2,a,1,2,10.9,2,3,0
ache,ash,1,0,0,ek,2,e,1,4,6.82,aS,2,a,1,3,7.8,2,2,0
brash,ash,2,0,1,braS,4,a,1,5,9.27,aS,2,a,1,3,7.8,2,2,1
crash,ash,4,0,1,kraS,4,a,1,5,7.54,aS,2,a,1,3,7.8,2,2,2
flash,ash,2,0,1,flaS,4,a,1,5,6.79,aS,2,a,1,3,7.8,2,2,1
harsh,ash,1,0,0,hArS,4,A,1,5,8.54,aS,2,a,1,3,7.8,2,3,0
lash,ash,8,0,1,laS,3,a,1,4,7.58,aS,2,a,1,3,7.8,1,1,3
mask,ash,1,0,0,mask,4,a,1,4,7.04,aS,2,a,1,3,7.8,2,3,0
rash,ash,5,0,1,raS,3,a,1,4,7.57,aS,2,a,1,3,7.8,1,1,3
trash,ash,1,0,1,traS,4,a,1,5,7.38,aS,2,a,1,3,7.8,2,2,0
bask,ask,8,0,1,bask,4,a,1,4,7.81,ask,3,a,1,3,7.4,1,1,3
flask,ask,12,0,1,flask,5,a,1,5,8.14,ask,3,a,1,3,7.4,2,2,3
mask,ask,9,0,1,mask,4,a,1,4,7.04,ask,3,a,1,3,7.4,1,1,3
glue,askew,1,0,1,glu,3,?,1,4,7.2,@.skju,5,?,2,5,11.53,4,5,0
wasp,asp,5,0,0,wAsp,4,A,1,4,7.08,asp,3,a,1,3,8.6,1,2,3
ash,ass,1,0,0,aS,2,a,1,3,7.78,as,2,a,1,3,8.3,1,1,0
brass,ass,12,0,1,bras,4,a,1,5,5,as,2,a,1,3,8.3,2,2,3
gas,ass,2,0,1,gas,3,a,1,3,8.45,as,2,a,1,3,8.3,2,1,1
grass,ass,11,0,1,gras,4,a,1,5,7.86,as,2,a,1,3,8.3,2,2,3
mass,ass,10,0,1,mas,3,a,1,4,7.57,as,2,a,1,3,8.3,1,1,3
sue,assume,1,0,0,su,2,u,1,3,9.05,@.sum,4,u,2,6,8.8,3,3,0
stray,astray,1,1,1,stre,4,?,1,5,6.2,@.stre,5,?,2,6,7.5,1,2,0
bathe,at,1,0,0,beD,3,e,1,5,4.69,at,2,a,1,2,10.8,3,3,0
fat,at,2,0,1,fat,3,a,1,3,8.57,at,2,a,1,2,10.8,1,1,1
math,at,1,0,0,maT,3,a,1,4,8.07,at,2,a,1,2,10.8,2,2,0
rat,at,2,0,1,rat,3,a,1,3,8.28,at,2,a,1,2,10.8,1,1,1
squat,at,1,0,0,skwAt,5,A,1,5,5.77,at,2,a,1,2,10.8,3,4,0
swath,at,1,0,0,swAT,4,A,1,5,4.48,at,2,a,1,2,10.8,3,4,0
bait,ate,1,0,1,bet,3,e,1,4,7.75,et,2,e,1,3,8.2,3,1,0
eat,ate,3,1,0,it,2,i,1,3,8.49,et,2,e,1,3,8.2,2,1,2
faith,ate,2,0,0,feT,3,e,1,5,6.15,et,2,e,1,3,8.2,3,2,1
gate,ate,4,0,1,get,3,e,1,4,8.03,et,2,e,1,3,8.2,1,1,2
hate,ate,5,0,1,het,3,e,1,4,8.18,et,2,e,1,3,8.2,1,1,3
mate,ate,3,0,1,met,3,e,1,4,8.34,et,2,e,1,3,8.2,1,1,2
rate,ate,7,0,1,ret,3,e,1,4,8.18,et,2,e,1,3,8.2,1,1,3
state,ate,4,0,1,stet,4,e,1,5,7.32,et,2,e,1,3,8.2,2,2,2
catch,attach,1,0,1,katS,3,a,1,5,7.78,@.tatS,4,a,2,6,10.7,3,3,0
latch,attach,2,0,0,latS,3,a,1,5,7.23,@.tatS,4,a,2,6,10.7,3,3,1
snatch,attach,1,0,1,snatS,4,a,1,6,5.09,@.tatS,4,a,2,6,10.7,4,3,0
back,attack,1,0,1,bak,3,a,1,4,7.92,@.tak,4,a,2,6,8.9,3,3,0
jack,attack,2,0,1,dZak,3,a,1,4,8.82,@.tak,4,a,2,6,8.9,3,3,1
quack,attack,1,0,1,kwak,4,a,1,5,9.34,@.tak,4,a,2,6,8.9,3,3,0
sack,attack,1,0,1,sak,3,a,1,4,8.48,@.tak,4,a,2,6,8.9,3,3,0
snack,attack,3,0,1,snak,4,a,1,5,7.34,@.tak,4,a,2,6,8.9,3,3,2
whack,attack,2,0,1,hwak,4,a,1,5,6.06,@.tak,4,a,2,6,8.9,3,3,1
feud,attitude,1,0,0,fjud,4,u,1,4,8.7,a.4@.tud,6,a.4@.,3,8,7.33,6,6,0
rude,attitude,1,1,0,rud,3,u,1,4,7.94,a.4@.tud,6,a.4@.,3,8,7.33,5,6,0
ant,aunt,1,0,1,ant,3,a,1,3,9.69,ant,3,a,1,4,7.1,1,0,0
haunt,aunt,9,0,0,hOnt,4,O,1,5,4.12,ant,3,a,1,4,7.1,1,2,3
taunt,aunt,5,0,1,tOnt,4,O,1,5,4.71,ant,3,a,1,4,7.1,1,2,3
hard,award,1,0,0,hArd,4,A,1,4,7.75,@.wOrd,5,O,2,5,7.9,2,4,0
stay,away,1,1,1,ste,3,?,1,4,7.38,@.we,3,e,2,4,6.7,2,3,0
raw,awe,1,0,1,rO,2,O,1,3,7.98,O,1,O,1,3,8.2,2,1,0
squaw,awe,2,0,1,skwO,4,?,1,5,6.27,O,1,O,1,3,8.2,4,3,1
squad,awed,1,0,1,skwAd,5,A,1,5,5.81,Od,2,O,1,4,5.3,4,4,0
pawn,awning,1,0,0,pOn,3,O,1,4,6.94,O.nIN,4,O.,2,6,4.4,4,4,0
have,ax,1,0,0,hav,3,a,1,4,7.5,aks,3,a,1,2,10.8,3,3,0
ox,ax,3,0,0,Aks,3,A,1,2,10.29,aks,3,a,1,2,10.8,1,1,2
wax,ax,4,0,1,waks,4,a,1,3,9.24,aks,3,a,1,2,10.8,1,1,2
tax,axe,3,0,1,taks,4,a,1,3,8.22,aks,3,a,1,3,8.7,2,1,2
bay,baby,1,0,0,be,2,e,1,3,9.65,be.bi,4,e.,2,4,7,1,3,0
bake,back,1,0,0,bek,3,e,1,4,8.41,bak,3,a,1,4,7.9,2,1,0
black,back,6,0,1,blak,4,a,1,5,7.25,bak,3,a,1,4,7.9,1,1,3
crack,back,3,0,1,krak,4,a,1,5,6.63,bak,3,a,1,4,7.9,2,2,2
jack,back,7,0,1,dZak,3,a,1,4,8.82,bak,3,a,1,4,7.9,1,2,3
lack,back,9,0,1,lak,3,a,1,4,8.08,bak,3,a,1,4,7.9,1,1,3
next,back,1,0,0,nEkst,5,E,1,4,8.57,bak,3,a,1,4,7.9,4,4,0
pat,back,1,1,0,pat,3,a,1,3,8.73,bak,3,a,1,4,7.9,3,2,0
quack,back,5,0,1,kwak,4,a,1,5,9.34,bak,3,a,1,4,7.9,2,2,3
sack,back,12,0,1,sak,3,a,1,4,8.48,bak,3,a,1,4,7.9,1,1,3
shack,back,5,0,1,Sak,3,a,1,5,7.59,bak,3,a,1,4,7.9,2,1,3
snack,back,5,0,1,snak,4,a,1,5,7.34,bak,3,a,1,4,7.9,2,2,3
snatch,back,1,0,0,snatS,4,a,1,6,5.09,bak,3,a,1,4,7.9,4,4,0
tack,back,3,0,1,tak,3,a,1,4,9.16,bak,3,a,1,4,7.9,1,1,2
trap,back,1,0,0,trap,4,a,1,4,8.3,bak,3,a,1,4,7.9,4,3,0
yak,back,14,0,1,jak,3,a,1,3,6.7,bak,3,a,1,4,7.9,2,1,3
bald,bad,1,0,0,bOld,4,O,1,4,7.09,bad,3,a,1,3,8.8,1,2,0
dad,bad,7,0,1,dad,3,a,1,3,8.93,bad,3,a,1,3,8.8,1,1,3
glad,bad,2,0,1,glad,4,a,1,4,6.92,bad,3,a,1,3,8.8,2,2,1
mad,bad,4,0,1,mad,3,a,1,3,9.03,bad,3,a,1,3,8.8,1,1,2
pad,bad,1,0,1,pad,3,a,1,3,8.68,bad,3,a,1,3,8.8,1,1,0
sad,bad,12,1,1,sad,3,a,1,3,9.1,bad,3,a,1,3,8.8,1,1,3
blade,bade,1,0,1,bled,4,e,1,5,6.8,bad,3,a,1,4,7,1,2,0
made,bade,4,0,1,med,3,e,1,4,7.33,bad,3,a,1,4,7,1,2,2
shade,bade,5,0,1,Sed,3,e,1,5,8.12,bad,3,a,1,4,7,2,2,3
badge,badger,9,0,0,badZ,3,a,1,5,4.66,ba.dZ@`,4,a.,2,6,4.8,1,3,3
big,bag,2,0,0,bIg,3,I,1,3,8.5,bag,3,a,1,3,8.4,1,1,1
