Cue,Target,Frequency,Semantic,Rhyme,PronCue,NPhonCue,PronCue_processed ,NSyllCue,cue_Length,cue_Freq_N,PhonTarget,NPhonTarget,PhonTarget_processed,NSyllTarget,Target_Length,Target_Freq_N
skirt,alert,1,0,1,sk3`t,4,3`,1,5,4.52,@.l3`t,4,3`,2,5,7
flex,alex,1,0,1,flEks,5,E,1,4,6.93,a.lIks,5,a.,2,4,5.7
sail,alias,1,0,0,sel,3,e,1,4,8.47,e.li@s,5,e.,2,5,3
sign,align,3,0,1,saIn,3,aI,1,4,9.05,@.laIn,4,aI,2,5,10
vine,align,1,0,0,vaIn,3,aI,1,4,7.96,@.laIn,4,aI,2,5,10
bribe,alive,1,0,0,braIb,4,aI,1,5,7.69,@.laIv,4,aI,2,5,8.3
dive,alive,3,0,1,daIv,3,aI,1,4,8.23,@.laIv,4,aI,2,5,8.3
drive,alive,3,0,1,draIv,4,aI,1,5,8.81,@.laIv,4,aI,2,5,8.3
five,alive,2,0,1,faIv,3,aI,1,4,8.56,@.laIv,4,aI,2,5,8.3
hive,alive,4,0,1,haIv,3,aI,1,4,9.02,@.laIv,4,aI,2,5,8.3
live,alive,4,1,1,lIv,3,I,1,4,8.63,@.laIv,4,aI,2,5,8.3
strive,alive,6,0,1,straIv,5,aI,1,6,6.33,@.laIv,4,aI,2,5,8.3
writhe,alive,1,0,0,raID,3,aI,1,6,?,@.laIv,4,aI,2,5,8.3
ball,all,5,0,1,bOl,3,O,1,4,8.14,Ol,2,O,1,3,6.8
call,all,9,0,1,kOl,3,O,1,4,7.93,Ol,2,O,1,3,6.8
fall,all,6,0,1,fOl,3,O,1,4,9.46,Ol,2,O,1,3,6.8
hall,all,6,0,1,hOl,3,O,1,4,8.67,Ol,2,O,1,3,6.8
haul,all,1,0,1,hOl,3,O,1,4,7.44,Ol,2,O,1,3,6.8
mall,all,3,0,1,mOl,3,O,1,4,8.36,Ol,2,O,1,3,6.8
palm,all,1,0,0,pAlm,4,A,1,4,7.61,Ol,2,O,1,3,6.8
stall,all,1,0,1,stOl,4,O,1,5,9.15,Ol,2,O,1,3,6.8
tall,all,3,0,1,tOl,3,O,1,4,8.98,Ol,2,O,1,3,6.8
wall,all,3,0,1,wOl,3,O,1,4,9.13,Ol,2,O,1,3,6.8
hedge,allege,1,0,1,hEdZ,3,E,1,5,7.62,@.lEdZ,4,E,2,6,?
cow,allow,1,0,1,kaU,2,a,1,3,8.26,@.laU,3,a,2,5,5.8
how,allow,1,0,1,haU,2,a,1,3,7.91,@.laU,3,a,2,5,5.8
now,allow,1,0,1,naU,2,a,1,3,8.98,@.laU,3,a,2,5,5.8
plow,allow,1,0,1,plaU,3,?,1,4,7.83,@.laU,3,a,2,5,5.8
cloud,allowed,1,0,1,klaUd,4,aU,1,5,6.91,@.laUd,4,aU,2,7,4.5
pure,allure,1,0,1,pjUr,4,U,1,4,6.45,@.lUr,4,U,2,6,?
psalm,almost,1,0,0,sAm,3,A,1,5,?,Ol.most,6,O,2,6,?
psalm,alms,1,0,0,sAm,3,A,1,5,?,Amz,3,A,1,4,6.7
bone,alone,1,0,1,bon,3,o,1,4,7.68,@.lon,4,o,2,5,6.9
foam,alone,1,0,0,fom,3,o,1,4,7.19,@.lon,4,o,2,5,6.9
lone,alone,5,1,1,lon,3,o,1,4,8.61,@.lon,4,o,2,5,6.9
phone,alone,2,0,1,fon,3,o,1,5,7.19,@.lon,4,o,2,5,6.9
roam,alone,1,0,0,rom,3,o,1,4,7.63,@.lon,4,o,2,5,6.9
stone,alone,1,0,1,ston,4,o,1,5,6.85,@.lon,4,o,2,5,6.9
sing,along,1,1,0,sIN,3,I,1,4,8.14,@.lON,4,O,2,5,10.9
strong,along,1,0,1,strON,5,O,1,6,6.73,@.lON,4,O,2,5,10.9
thong,along,1,0,1,TON,3,O,1,5,12.4,@.lON,4,O,2,5,10.9
booth,aloof,1,0,0,buT,3,u,1,5,7.47,@.luf,4,u,2,5,?
poof,aloof,9,0,1,pUf,3,U,1,4,7.43,@.luf,4,u,2,5,?
proof,aloof,5,0,1,pruf,4,u,1,5,?,@.luf,4,u,2,5,?
roof,aloof,8,0,1,ruf,3,u,1,4,7.16,@.luf,4,u,2,5,?
tooth,aloof,1,0,0,tuT,3,u,1,5,5.99,@.luf,4,u,2,5,?
youth,aloof,1,0,0,juT,3,u,1,5,8.46,@.luf,4,u,2,5,?
laugh,aloud,1,1,0,laf,3,a,1,5,3.54,@.laUd,4,aU,2,5,8.7
proud,aloud,1,0,1,praUd,4,aU,1,5,?,@.laUd,4,aU,2,5,8.7
scalp,alp,5,0,1,skalp,5,a,1,5,5.84,alp,3,a,1,3,8.7
scalp,alps,1,0,0,skalp,5,a,1,5,5.84,alps,4,a,1,4,5.7
night,alright,1,0,1,naIt,3,aI,1,5,9.66,Ol.raIt,5,aI,2,7,?
came,am,1,0,0,kem,3,e,1,4,9.21,am,2,a,1,2,10.5
damn,am,1,0,0,dam,3,a,1,4,7.86,am,2,a,1,2,10.5
game,am,1,0,0,gem,3,e,1,4,7.77,am,2,a,1,2,10.5
ham,am,3,0,1,ham,3,a,1,3,8.73,am,2,a,1,2,10.5
jam,am,1,0,1,dZam,3,a,1,3,8.52,am,2,a,1,2,10.5
lamb,am,1,0,1,lam,3,a,1,4,6.27,am,2,a,1,2,10.5
name,am,1,0,0,nem,3,e,1,4,8.36,am,2,a,1,2,10.5
ram,am,1,0,1,ram,3,a,1,3,8.06,am,2,a,1,2,10.5
roam,am,1,0,0,rom,3,o,1,4,7.63,am,2,a,1,2,10.5
shame,am,1,0,0,Sem,3,e,1,5,7.82,am,2,a,1,2,10.5
grass,amass,1,0,1,gras,4,a,1,5,7.86,@.mas,4,a,2,5,3
mass,amass,1,0,1,mas,3,a,1,4,7.57,@.mas,4,a,2,5,3
maze,amaze,2,0,1,mez,3,e,1,4,7.28,@.mez,4,e,2,5,?
lamb,amber,1,0,0,lam,3,a,1,4,6.27,am.b@`,4,a,2,5,5.3
send,amend,1,0,1,sEnd,4,E,1,4,7.68,@.mEnd,5,E,2,5,1.8
kid,amid,1,0,1,kId,3,I,1,3,8.29,@.mId,4,I,2,4,7.2
kiss,amiss,1,0,1,kIs,3,I,1,4,7.67,@.mIs,4,I,2,5,2.8
miss,amiss,2,0,1,mIs,3,I,1,4,7.56,@.mIs,4,I,2,5,2.8
lung,among,1,0,1,lVN,3,?,1,4,7.83,@.mVN,4,?,2,5,11.4
sponge,among,1,0,0,spVndZ,5,?,1,6,5.3,@.mVN,4,?,2,5,11.4
tongue,among,2,0,1,tVN,3,?,1,6,4.5,@.mVN,4,?,2,5,11.4
young,among,1,0,1,jVN,3,?,1,5,?,@.mVN,4,?,2,5,11.4
count,amount,4,0,1,kaUnt,4,aU,1,5,8.62,@.maUnt,5,aU,2,6,?
camp,amp,4,0,1,kamp,4,a,1,4,6.37,amp,3,a,1,3,7.7
cramp,amp,4,0,1,kramp,5,a,1,5,5.92,amp,3,a,1,3,7.7
damp,amp,11,0,1,damp,4,a,1,4,7.1,amp,3,a,1,3,7.7
lamp,amp,8,0,1,lamp,4,a,1,4,6.61,amp,3,a,1,3,7.7
stamp,amp,4,0,1,stamp,5,a,1,5,6.88,amp,3,a,1,3,7.7
swamp,amp,6,0,0,swAmp,5,A,1,5,6.87,amp,3,a,1,3,7.7
bruise,amuse,1,0,1,bruz,4,u,1,6,5.93,@.mjuz,5,u,2,5,10.2
bus,amuse,1,0,0,bVs,3,?,1,3,8.49,@.mjuz,5,u,2,5,10.2
cruise,amuse,1,0,1,kruz,4,u,1,6,6.12,@.mjuz,5,u,2,5,10.2
fuse,amuse,1,0,1,fjuz,4,u,1,4,5.22,@.mjuz,5,u,2,5,10.2
ban,an,1,0,1,ban,3,a,1,3,9.42,an,2,a,1,2,11.3
bank,an,1,0,0,baNk,4,a,1,4,7.49,an,2,a,1,2,11.3
can,an,1,0,1,kan,3,a,1,3,9.45,an,2,a,1,2,11.3
cane,an,1,0,0,ken,3,e,1,4,8.33,an,2,a,1,2,11.3
change,an,2,0,0,tSendZ,4,e,1,6,10.85,an,2,a,1,2,11.3
dance,an,1,0,0,dans,4,a,1,5,7.02,an,2,a,1,2,11.3
grant,an,1,0,0,grant,5,a,1,5,6.73,an,2,a,1,2,11.3
jeans,an,1,0,0,dZinz,4,i,1,5,7.2,an,2,a,1,2,11.3
